t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz], [V], [V]2, [A],?S [VA],?P [W],?Q [var],cos ?,Label
1.406,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.422,119.974,121.318,119.849,209.236,209.185,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.453,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.469,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.484,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.5,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.531,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.547,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.562,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.594,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
1.609,119.974,121.318,119.849,209.236,209.185,207.088,1.36403,1.23861,1.14613,0.271681,163.648,150.266,137.363,-154.441,-140.553,-130.772,42.7511,42.8374,30.5689,0.943736,0.935367,0.95202,1.56932,1.75357,1.50781,59.9824,120.381,208.503,1.24959,451.277,-425.766,116.157,0.943471,0
